"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-04-15","3.13"," 1609"," 1529","0.00",,"0.0","0.0",,"77","46",,"  160","  170","12.1","16.1"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-04-16","6.49"," 1547"," 1440","0.00",,"0.0","0.0",,"85","53",,"  240","  230","17.0","23.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-04-17","7.38"," 1347"," 1418","0.00",,"0.0","0.0",,"81","53",,"  280","  290","21.0","25.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-04-18","5.59"," 0011"," 1244","0.00",,"0.0","0.0",,"70","37",,"   20","  290","15.0","21.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-04-19","4.92"," 1145"," 0840","0.00",,"0.0","0.0",,"68","38",,"   20","   80","10.1","19.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-04-20","4.25"," 1449"," 1448","0.14",,"0.0","0.0",,"73","50",,"  280","  280","16.1","21.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-04-21","4.47"," 1226"," 1225","0.00",,"0.0","0.0",,"70","49",,"  340","  340","13.0","17.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-04-22","4.70"," 1134"," 1608","0.00",,"0.0","0.0",,"75","43",,"  360","  240","15.0","23.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-04-23","5.14"," 2131"," 1740","0.03",,"0.0","0.0",,"83","50",,"   90","  320","16.1","25.1"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-04-24","6.49"," 1118"," 1122","0.32",,"0.0","0.0",,"74","59",,"  210","  190","19.9","33.1"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-04-25","13.87"," 1419"," 1419","0.29",,"0.0","0.0",,"81","61",,"  220","  220","23.9","31.1"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-04-26","9.62"," 1918"," 1832","0.01",,"0.0","0.0",,"74","56",,"  280","  270","17.0","25.1"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-04-27","5.82"," 1418"," 1417","0.30",,"0.0","0.0",,"63","47",,"  320","  320","23.0","30.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-04-28","5.14"," 1258"," 1212","0.00",,"0.0","0.0",,"67","40",,"  360","  330","15.0","21.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-04-29","3.80"," 1343"," 1339","0.00",,"0.0","0.0",,"73","38",,"  210","  200","13.0","17.0"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-04-30","6.71"," 1149"," 1212","0.00",,"0.0","0.0",,"82","46",,"  210","  240","16.1","21.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-01","7.38"," 2336"," 1400","0.00",,"0.0","0.0",,"81","60",,"  180","  210","15.0","19.9"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-02","11.86"," 1330"," 1452","0.00",,"0.0","0.0",,"89","71",,"  210","  210","23.0","29.1"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2010-05-03","11.41"," 1203"," 2112","0.23",,"0.0","0.0",,"75","69",,"  180","  230","21.9","25.1"
